model_name,equipment_code
Sikorsky S-61,S61
Sikorsky S-76,S76
Sikorsky S-92,S92
Sukhoi Superjet 100-95,SU95
Tupolev Tu-134,T134
Tupolev Tu-144,T144
Tupolev Tu-154,T154
Tupolev Tu-204,T204
Yakovlev Yak-40,YK40
Yakovlev Yak-42,YK42
